               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11531,             0.28286,                   0,             0.30807,             0.58372,             0.31882,             0.08782,             0.10091,             0.24329,                   0,              0.0703,              0.0033,              0.0033
                   1,            0.078261,             0.28867,                   0,             0.60013,             0.88711,              0.7609,             0.35208,            0.078406,             0.27522,                   0,            0.040234,           0.0065677,           0.0065677
                   2,            0.067731,             0.28953,                   0,             0.92707,             0.94499,             0.97889,             0.66848,            0.062875,             0.23313,                   0,            0.010103,           0.0097693,           0.0097693
                   3,            0.061977,             0.27092,                   0,             0.93631,             0.95559,             0.98365,             0.62575,            0.054035,             0.21993,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058671,             0.26421,                   0,             0.87924,             0.95612,             0.98078,             0.72953,            0.059213,             0.22631,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053063,             0.25091,                   0,              0.9773,             0.98557,             0.99398,             0.76147,            0.047512,             0.18766,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05126,             0.24026,                   0,              0.9785,             0.98584,             0.99323,             0.71376,            0.044084,             0.18118,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.04937,             0.23377,                   0,             0.99441,             0.99112,              0.9949,             0.81535,             0.04451,             0.17467,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.047317,             0.22707,                   0,             0.98945,             0.98674,             0.99446,             0.76486,            0.042448,             0.16745,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046198,             0.22412,                   0,             0.99419,             0.99172,             0.99493,             0.84082,            0.038613,             0.15893,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.045066,             0.21922,                   0,             0.99422,             0.99453,             0.99493,             0.85912,            0.038989,             0.15286,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044497,             0.21527,                   0,             0.99429,             0.99436,             0.99486,             0.80863,            0.038862,             0.15239,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043923,             0.20737,                   0,             0.99534,             0.99376,             0.99494,             0.77296,            0.040956,              0.1685,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041382,             0.20509,                   0,             0.99532,             0.99401,             0.99496,             0.86702,            0.038849,             0.14739,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04303,              0.2037,                   0,             0.99521,             0.99614,             0.99497,             0.86548,            0.034954,             0.13882,                   0,            0.008713,            0.008713,            0.008713
